"Story","Title","Result","Date","Stability","Duration (s)"
"Verify Search Features","Customer Can Search With Filter","SUCCESS","2019-12-09T22:36:33.103+07:00[Asia/Ho_Chi_Minh]","0.0","54.92"
"Verify Search Features","Verify Sort feature in Search Result","SUCCESS","2019-12-09T22:37:28.161+07:00[Asia/Ho_Chi_Minh]","0.0","56.2"
